experiment_id,sequence,record_sha256,prior_sha256,amended_at,approved_by,reason
X-01,0,sha256:da901afeac387a054c4e8f64cb928bb96df45919af5b5b696639b44ccbd860d3,,,,
X-02,0,sha256:1b6393ef8cca4bf482cc3a167844358c07fda9a97c45cbedbe4ceda3e2033ed1,,,,
X-02,1,sha256:e0c42e97c8ec12dd99b883d4d81f2252e617cb125a49ad8b1a1f39d5518bf1f7,sha256:1b6393ef8cca4bf482cc3a167844358c07fda9a97c45cbedbe4ceda3e2033ed1,2026-07-23T05:15:58Z,H,"Preregister the X-02 sample, timestamp statistics, downgrade gate, and Charter-approved audit split before formal data inspection."
X-02,2,sha256:40a561b867f25b564bc8da8d97bb1beede71e2224e863e2a2c323d0731a95633,sha256:e0c42e97c8ec12dd99b883d4d81f2252e617cb125a49ad8b1a1f39d5518bf1f7,2026-07-23T05:16:12Z,H,Bind the verified four-day X-02 timestamp input bundle without preregistering runner code or evaluated data.
X-02,3,sha256:2aa6365a16d4b9d9f7c6e56a375288e04e043bc9b7cb45aace59b8338b77e70a,sha256:40a561b867f25b564bc8da8d97bb1beede71e2224e863e2a2c323d0731a95633,2026-07-23T06:22:17Z,H,Preregister the frozen X-02 runner and four-day data bundle before timestamp measurement.
X-03,0,sha256:7634916448695c08bf66826c217cce0b8d1f67f32bc85c163c5de433bcd07962,,,,
X-04,0,sha256:5e2265e8d9d992a27024a4af5914fd94bdb172efb97b2a9d819b9b4f7aafedb9,,,,
X-05,0,sha256:174e6422e4531aaff8a28daa9a7ff254b177f6685e895cf8fb286d21081f463b,,,,
X-06,0,sha256:8e487785dc877f70fbdb8b7bdb3825e70ebdd950af474512635429cc6b6c1c34,,,,
X-07,0,sha256:44acdd9db4be6dd50b375384fe419dcaef631f381d37a054152f85e26a3295d5,,,,
X-08,0,sha256:e4d9f0a72ac6dcb4ad0e78859bf0264eb9a79508987263428678bf4342b97e8e,,,,
X-08,1,sha256:79fee8b26ba1c7bd961ecabc853e7fe0273176f20951cc2a6106bd63892a12fa,sha256:e4d9f0a72ac6dcb4ad0e78859bf0264eb9a79508987263428678bf4342b97e8e,2026-07-23T00:00:01Z,H,Clarify the official REST supplement without replacing the Charter-aligned stopped-archive reference audit.
X-09,0,sha256:b72b5395b37a189150c00f2b278c713942fe78b41da4b68dd5beef8d3cc0160b,,,,
X-10,0,sha256:bb1fc8aca25e10250bdef744b682788afab1b83357855b7c6a6231086623911a,,,,
X-11,0,sha256:1706e20201346560f38b4bf1ab3f040c8318f871d809eeff03666827b1b5ec4e,,,,
X-11,1,sha256:ad594d2aa06ff7ecc99ba4389d53c2973f1aba8bc922bba45a7c0cedc3ed6177,sha256:1706e20201346560f38b4bf1ab3f040c8318f871d809eeff03666827b1b5ec4e,2026-07-23T23:49:01Z,H,Preregister the verified NFL official no-spread reproduction inputs before any 2021-2025 evaluation.
X-11,2,sha256:0dcd4a1a62c7790967023b2383a2cb93eaf35b25e3e4d64baabe8decb8f45960,sha256:ad594d2aa06ff7ecc99ba4389d53c2973f1aba8bc922bba45a7c0cedc3ed6177,2026-07-24T00:41:31Z,H,"Pre-evaluation supersession: V1 rejected two valid Q2 halftime rows because game_seconds_remaining=1800 was not disambiguated by qtr; V1 has no results, and V2 was frozen before evaluation."
X-11,3,sha256:ee5a0ae12f8de8e9a3fe093193a4d730d8281c4a82ff631ae245cf71680879cc,sha256:0dcd4a1a62c7790967023b2383a2cb93eaf35b25e3e4d64baabe8decb8f45960,2026-07-24T01:25:04Z,H,"Append the official no-spread V2 PRELIMINARY, PIT_UNPROVEN reproduction result after evaluation; no formal promotion or completion decision."
X-12,0,sha256:f1482d5268cbcb556ae8ac8fb37f15d31586cbc2e13565cb05f0341efcabdc96,,,,
X-13,0,sha256:f637a647e881a048866e0dd4003b65b4397e6194cf6e58cc13c65be69920a697,,,,
X-13,1,sha256:f2c54c5df05a27d1d6500598bc81d4194f8875dfb82b4219a1ab1991dd9ff133,sha256:f637a647e881a048866e0dd4003b65b4397e6194cf6e58cc13c65be69920a697,2026-07-25T09:08:22Z,H,Bind the exact immutable X-13 source bundle and evaluation code before source-time association evaluation.
X-13,2,sha256:b160b856da5c1f8115969bbbbda6418fe67fc84e0cffdb121f0ea9a677f1ac2f,sha256:f2c54c5df05a27d1d6500598bc81d4194f8875dfb82b4219a1ab1991dd9ff133,2026-07-25T09:23:48Z,H,Pre-evaluation code supersession after the 2026-07-25T09:11:18Z attempt failed closed before publication: parse official Polymarket JSON-number price and size as exact Decimal at the verified raw boundary; source bundle unchanged and no result exists.
X-13,3,sha256:a652026456ddc2ea7ce1b2dc84891908e77af645d87589585976820905016838,sha256:b160b856da5c1f8115969bbbbda6418fe67fc84e0cffdb121f0ea9a677f1ac2f,2026-07-25T11:46:07Z,H,"Pre-evaluation code supersession after the prior source/data-valid batch failed closed at Chromium acceptance before result registration: publish bounded interval-semantic HTML, a market-covering preview, and a hash-bound exploration readiness report; source bundle unchanged and no result exists."
X-13,4,sha256:dc7b9006ccea5512713f2be0487f7affaa0978b08a80fe092141f49506ebbe51,sha256:a652026456ddc2ea7ce1b2dc84891908e77af645d87589585976820905016838,2026-07-25T16:10:10Z,H,"Register only the deterministic twenty-game PRELIMINARY_SOURCE_TIME_ONLY source-time batch and presentation artifacts; this is not inference, alpha, latency, causality, or execution evidence, and exploration readiness remains NOT_RUN."
X-13,5,sha256:439c17864c9676d832345e1d2a34bd4dca06a33a7fa85ad768dd4309d814d185,sha256:dc7b9006ccea5512713f2be0487f7affaa0978b08a80fe092141f49506ebbe51,2026-07-25T19:02:30Z,H,"Append the reaction-blind historical holdout selector and freeze the corrected focal-team, audited-orientation factor and missing-cell publication code for a reproducible post-hoc discovery iteration. This does not rewrite the X-13 genesis or prior amendments, does not claim clean discovery preregistration, and leaves holdout reactions untouched."
X-13,6,sha256:74df766f85b99be6a029a85499f8e605005a8f3228408512fea0a41ddffca24d,sha256:439c17864c9676d832345e1d2a34bd4dca06a33a7fa85ad768dd4309d814d185,2026-07-25T19:04:55Z,H,"Pre-evaluation code supersession after the corrected runner failed closed before publication because invalid or no-trade cells legitimately carry null staleness. Permit null staleness only outside observed-trade rows; source bundle, factor policy, and holdout selector are unchanged."
X-13,7,sha256:a58d6b59b576bc9fef5bd769144950454478b39586261bb09d318a84d9ca3d33,sha256:74df766f85b99be6a029a85499f8e605005a8f3228408512fea0a41ddffca24d,2026-07-25T19:11:40Z,H,"Pre-evaluation code supersession after the prior runner was interrupted before publication while sorting the complete delay-zero audit projection. Separate the frozen focal-outcome analysis projection from the complete missing and ambiguous audit publication projection without changing factors horizons support gates data or the frozen holdout."
X-13,8,sha256:180295775c487ceb20eef4eac1bd88ad9207bb69b041ecb169ebf56f36d5a16a,sha256:a58d6b59b576bc9fef5bd769144950454478b39586261bb09d318a84d9ca3d33,2026-07-25T19:14:11Z,H,"Pre-evaluation code supersession after the sequence 7 runner failed closed before publication because the provenance invariant incorrectly required a focal team on explicitly signal-ineligible routine rows. Restrict that invariant to signal-event-eligible rows without changing the eligible observations factor policy horizons support gates data or frozen holdout."
X-13,9,sha256:46c6de2e2a0b8d26ca84d02867f3235dfe5750728af593600fd65a7996e9b228,sha256:180295775c487ceb20eef4eac1bd88ad9207bb69b041ecb169ebf56f36d5a16a,2026-07-25T19:15:45Z,H,"Pre-evaluation code supersession after the sequence 8 runner failed closed before publication because the complete audit projection preserved exact decimal source strings while the analysis projection normalized numeric measures. Normalize the same frozen price volume staleness and age fields at the audit projection boundary without changing data factors horizons support gates or holdout."
X-13,10,sha256:d8498f0bcad6b1b635cfb19a4c51327bc2886ed14f043d86c031e58bf3a83a3e,sha256:46c6de2e2a0b8d26ca84d02867f3235dfe5750728af593600fd65a7996e9b228,2026-07-25T19:18:05Z,H,"Append the checksum-verified X-13 twenty-game post-hoc discovery bundle. Every ranked factor remains DISCOVERY_ONLY and requires the already frozen reaction-blind holdout; this result makes no causal latency execution tradeability or alpha claim."
X-13,11,sha256:3cb7549aaaf56b6f599a498cb0c700a8cc10775cb6bb50de9043d9bfd19c69f4,sha256:d8498f0bcad6b1b635cfb19a4c51327bc2886ed14f043d86c031e58bf3a83a3e,2026-07-25T19:20:03Z,H,"Supersede only the PRELIMINARY report-rendering code after the checksum-verified discovery bundle revealed that its prose called every delay-zero audit cell an actual observation. Report total audit cells actual-trade observations and missing or invalid cells separately; the frozen analysis data factors estimates horizons support gates and holdout remain unchanged."
X-13,12,sha256:313e3a7c1cb8e359a8b39eb57cb4d2223a058f12e49a43308cad4a0e2d02f892,sha256:3cb7549aaaf56b6f599a498cb0c700a8cc10775cb6bb50de9043d9bfd19c69f4,2026-07-25T19:21:47Z,H,"Append the checksum-verified X-13 discovery bundle with corrected audit-cell versus actual-trade reporting. Statistical estimates are unchanged from the prior PRELIMINARY bundle; every factor remains DISCOVERY_ONLY and the frozen holdout reactions remain unread."
X-13,13,sha256:3524b04124ab04edb470ac81baa977c6f36ba76016e9e3509c2f841b68b6d6a3,sha256:313e3a7c1cb8e359a8b39eb57cb4d2223a058f12e49a43308cad4a0e2d02f892,2026-07-25T19:27:13Z,H,"Supersede only PRELIMINARY market-coverage provenance rendering after regression review found that zero-observation audit groups were labelled actual_trade. Label those groups audit_cell_no_actual_trade while preserving complete audit cells and all frozen analysis data factors estimates horizons support gates and holdout."
